Betrachte die Aussage in Bild 49. Welche der Antworten stellen korrekte Gegenbeispiele dar?;P=(|x = 0|) pi={x <- x + 1} Q=(|x = 1|) P' = (|x >= 0|);P=(|x = 2|) pi={x <- x + 2} Q=(|x = 2|) P' = (|x <= 2|);P=(|x = 5|) pi={x <- x + 3} Q=(|x = 8|) P' = (|x <= 6|);Die Aussage ist korrekt.;Keine der genannten Antworten.;13;49_til.png
Betrachte Bild 50. Welche der angegebenen Hoare-Triple sind partiell und total korrekt?;a);b);c);d);Keine der genannten Antworten.;23;50_til.png
Betrachte Bild 50. Welche der angegebenen Hoare-Triple sind partiell korrekt, aber nicht total korrekt?;a);b);c);d);Keine der genannten Antworten.;4;50_til.png
Betrachte Bild 51. Welche Formel kann beim Kommentar 'Implikation 1' stehen?;3y < 2(x + y - 1);3y < 2x + y - 1;2(x + y - 1) < 3y;y < x + y - 1;Keine der genannten Antworten.;3;51_til.png
Betrachte Bild 51. Welche Formel kann beim Kommentar 'Implikation 2' stehen?;2(y + y) < 3(y + y);2(y * y) < 3(y * y);2x <= y;2x > 2y;Keine der genannten Antworten.;2;51_til.png
In Bild 52 wird die Gültigkeit einer Implikation gezeigt. Ist die Vorgehensweise korrekt?;Ja!;Nein, Zeile (1) ist fehlerhaft.;Nein, Zeile (3) ist fehlerhaft.;Nein, Zeile (5) ist fehlerhaft.;Keine der genannten Antworten.;1;52_til.png
Betrachte Bild 53. Welche der Antworten stellen eine gültige Invariante dar?;8x > 7y;x > y;x >= y;x != y;Keine der genannten Antworten.;3;53_til.png
Betrachte Bild 54. Welche Assertion kann in Zeile (4) stehen?;(| x + y = x0 + y0 |);(| x + y - 1 = x0 + y0 |);(| x + 1 + y = x0 + y0 |);(| x + 1 + y - 1 = x0 + y0 |);Keine der genannten Antworten.;2;54_til.png
Betrachte Bild 54. Welche Precondition kann in Zeile (1) stehen?;(| x + y = x0 + y0 |);(| x + y - 1 = x0 + y0 |);(| x + 1 + y = x0 + y0 |);(| x + 1 + y - 1 = x0 + y0 |);Keine der genannten Antworten.;4;54_til.png
Betrachte Bild 55. Welche der Antworten sind Variablen, die frei vorkommen?;h;x;y;z;Keine der genannten Antworten.;23;55_til.png
Betrachte Bild 56. Welche der Antworten sind Variablen, die frei vorkommen?;h;x;y;z;Keine der genannten Antworten.;34;56_til.png
Betrachte Bild 57. Welche der Antworten sind Variablen, die nur gebunden vorkommen?;b;x;y;z;Keine der genannten Antworten.;2;57_til.png
Betrachte Bild 58. Welche der Antworten sind Variablen, die nur gebunden vorkommen?;b;x;y;z;Keine der genannten Antworten.;24;58_til.png
Betrachte Bild 59. Welche der nachfolgenden Antworten sind ein Modell zur gegebenen Formel?;a);b);c);d);Keine der genannten Antworten.;24;59_til.png
Betrachte Bild 60. Welche der nachfolgenden Antworten sind ein Modell zur gegebenen Formel?;a);b);c);d);Keine der genannten Antworten.;124;60_til.png
Betrachte Bild 61. Welche der nachfolgenden Antworten sind ein Modell zur gegebenen Formel?;a);b);c);d);Keine der genannten Antworten.;23;61_til.png
Betrachte Bild 62. Welche der nachfolgenden Antworten sind ein Modell zur gegebenen Formel?;a);b);c);d);Keine der genannten Antworten.;1234;62_til.png
Betrachte Bild 63. Welche der nachfolgenden Antworten sind ein Modell zur gegebenen Konsequenzbehauptung?;a);b);c);d);Keine der genannten Antworten.;134;63_til.png
Betrachte Bild 64. Welche der nachfolgenden Antworten sind ein Gegenbeispiel zur gegebenen Formel?;a);b);c);d);Keine der genannten Antworten.;13;64_til.png
Betrachte Bild 65. Welche der nachfolgenden Antworten sind ein Gegenbeispiel zur gegebenen Formel?;a);b);c);d);Keine der genannten Antworten.;3;65_til.png
Betrachte Bild 66. Welche der nachfolgenden Antworten sind ein Gegenbeispiel zur gegebenen Formel?;a);b);c);d);Keine der genannten Antworten.;14;66_til.png
Betrachte Bild 67. Welche der nachfolgenden Antworten sind ein Gegenbeispiel zur gegebenen Formel?;a);b);c);d);Keine der genannten Antworten.;5;67_til.png
Betrachte Bild 68. Welche der nachfolgenden Antworten sind ein Gegenbeispiel zur gegebenen Konsequenzbehauptung?;a);b);c);d);Keine der genannten Antworten.;2;68_til.png
Betrachte Bild 69 und wähle alle korrekten Formalisierungen für die Aussage: Jedes Huhn frisst alle Körner, die es sieht.;1;2;3;4;Keine der genannten Antworten.;2;69_til.png
Betrachte Bild 70  und wähle alle korrekten Formalisierungen für die Aussage: Pipi ist ein Huhn, das höchstens zwei Körner frisst.;1;2;3;4;Keine der genannten Antworten.;1;70_til.png
Betrachte Bild 71 und wähle alle korrekten Formalisierungen für die Aussage: Nicht alle Katzen haben einen Besitzer, der für sie sorgt.;1;2;3;4;Keine der genannten Antworten.;124;71_til.png
Betrachte Bild 72  und wähle alle korrekten Formalisierungen für die Aussage: Manche Kinder besitzen mehr als einen Hund.;1;2;3;4;Keine der genannten Antworten.;2;72_til.png
Betrachte Bild 73 und wähle alle korrekten Formalisierungen für die Aussage: Manche Kinder besitzen genau zwei Hunde.;1;2;3;4;Keine der genannten Antworten.;4;73_til.png
Betrachte Bild 74 und wähle alle korrekten Formalisierungen für die Aussage: Jeder Hund hat höchstens zwei Besitzer.;1;2;3;4;Keine der genannten Antworten.;3;74_til.png
Betrachte Bild 75 und wähle alle korrekten Formalisierungen für die Aussage: Leila ist eine Professorin, die alle Studierenden kennt, die sie benotet.;1;2;3;4;Keine der genannten Antworten.;13;75_til.png
Betrachte Bild 76 und wähle alle korrekten Formalisierungen für die Aussage: Alle Mütter, aber nicht alle Väter, kennen alle ihre Kinder.;1;2;3;4;Keine der genannten Antworten.;1234;76_til.png
Betrachte Bild 77. Welche der nachfolgenden aussagenlogischen Schlüsse sind korrekt?;1;2;3;4;Keine der genannten Antworten.;124;77_til.png
Welche der nachfolgenden Aussagen sind korrekt?;Es gibt endlich viele PL-Formeln.;Jedes Problem lässt sich als eine PL-Formel beschreiben.;Wenn F eine gültige PL-Formel ist, dann gibt es immer einen Tableau-Beweis von F der Größe f(|F|).;Die Menge der gültigen PL-Formeln ist eine entscheidbare Sprache.;Keine der genannten Antworten.;5;
